04|KRASNOYARSK Severny|WD|116.15|56.0333|92.9167|287.0
34|KYZYL|00|117.65|51.6833|94.4167|646.0
39|BRATSK|BS|117.90|56.3833|101.6833|487.0
06|BELAYA|GW|116.25|52.9167|103.5783|458.0
36|IRKUTSK|IR|117.75|52.2667|104.4000|511.0
12|UST-KUT|CI|116.55|56.8500|105.7333|667.0
07|ULAN-UDE|00|116.30|51.8550|107.7533|509.0
37|KIRENSK|KI|117.80|57.7667|108.0500|256.0
13|CHITA|DG|116.60|52.0267|113.2983|692
38|BODAYBO|IA|117.85|57.8733|114.2283|245.0
23|MOGOCHA|KU|117.10|53.7233|119.7583|632.0
35|NIZHNEUDINSK|FV|117.70|54.8833|99.0667|409.0
03|MIRNY|SG|116.10|62.5500|114.0900|352.0
02|OLEKMINSK|ON|116.05|60.4133|120.4433|232.0
18|NERYUNGRI|RQ|116.85|56.9100|124.8817|857.0
23|TIKSI|KF|117.10|71.6950|128.9150|8.0
13|YAKUTSK|UD|116.60|62.0900|129.7817|99.0
34|BATAGAY|00|117.65|67.6400|134.7000|227.0
02|CHOKURDAKH|QG|116.05|70.6283|147.9067|46.0
14|CHERSKY|CE|116.65|68.7533|161.3433|6.0
05|MAGDAGACHI|GU|116.20|53.4700|125.8117|369.0
35|BLAGOVESCHENSK|03|117.70|50.4117|127.4217|195.0
30|ZAVITINSK|GT|117.45|50.1900|129.5000|276.0
07|VOZDVIZHENKA|ZL|116.30|43.9117|131.9200|42.0
26|VLADIVOSTOK|JL|117.25|43.4033|132.1533|14.0
15|KHABAROVSK|BD|116.70|48.5300|135.1967|74.0
26|KOMSOMOLSK N A Hurba|UL|117.25|50.4100|136.9383|28.0
18|KOMSOMOLSK N A Dzemgi|UI|116.85|50.6133|137.0850|27.0
34|SOVETSKAYA GAVAN|RO|117.65|49.2367|140.1767|201.0
13|YUZHNO-SAKHALINSK|SL|116.60|46.8850|142.7100|18.0
21|SOKOL|02|117.00|47.2617|142.7617|29.0
23|OKHA|TQ|117.10|53.5150|142.8883|36.0
04|SEYMCHAN|00|116.15|62.9167|152.4167|207.0
13|UST-BOLSHERETSK|UB|116.60|52.8217|156.2783|30.0
33|PEVEK|BM|117.60|69.7933|170.5817|3.0
24|ANADYR|UX|117.15|64.7350|177.7317|59.0
15|SHMIDTA,MYS|01|116.70|68.8650|-178.6367|6.0
04|KALININGRAD|KR|116.15|54.8917|20.5850|13.0
16|GADILOVICHI|BY|116.75|52.1033|23.9050|143.0
39|MINSK|WN|117.90|53.7667|27.5783|177.0
31|MINSK-2|GH|117.50|53.8850|28.0217|204.0
15|GOMEL|MV|116.70|52.5267|31.0267|144.0
11|STRY|BP0|116.50|49.2467|23.7867|312.0
23|LVOV|GD|117.10|49.8133|23.9483|326.0
20|IVANO-FRANKOVSK|DJ|116.95|48.8867|24.6850|280.0
35|CHERNOVTSY|NW|117.70|48.2683|25.9817|243.0
28|ZHITOMIR|DO|117.35|50.1567|28.7383|232.0
39|LIMANSKOYE|KE|117.90|46.6650|30.0167|54.0
36|UZIN|LV|117.75|49.7917|30.4383|166.0
38|ODESSA|XF|117.85|46.4500|30.6683|52.0
40|KIYEV|GC|117.95|50.3367|30.8783|130.0
31|NIKOLAEV|00|117.50|47.0617|31.9233|56.0
15|KHERSON|HE|116.70|46.6800|32.5083|43.0
19|SEVASTOPOL|BP1|116.90|44.6883|33.5700|105.0
09|SIMFEROPOL|TL|116.40|45.0200|33.9850|195.0
14|DZHANKOY|DN|116.65|45.6967|34.4100|8.0
23|SUMY|CQ|117.10|50.8567|34.7733|181.0
24|DNEPROPETROVSK|QJ|117.15|48.3617|35.1133|147.0
11|ZAPOROZHYE|PV|116.50|47.8633|35.3050|114.0
29|KHARKOV|PW|117.40|49.9283|36.2983|155.0
07|BERDYANSK|UZ|116.30|46.8100|36.7600|54.0
40|ZHDANOV|ML|117.95|47.0650|37.4517|76.0
13|DONETSK|AK|116.60|48.0750|37.7450|241.0
09|LUGANSK|QT|116.40|48.4133|39.3900|194.0
05|AKTAU|PC|116.20|43.8667|51.1000|22.0
38|URALSK|PR|117.85|51.1500|51.5333|38.0
37|ATYRAU|MU|117.80|47.1500|51.7833|-22.0
15|NUKUS|ZR|116.70|49.4833|59.6333|462.0
13|KUSTANAY|YU|116.60|53.2067|63.5417|181.0
19|KYZYL-ORDA|OB|116.90|44.3517|65.6000|132.0
38|ARKALYK|UU1|117.85|50.3333|66.9667|388.0
29|ZHEZKAZGAN|WV|117.40|47.7000|67.7300|381.0
18|CHIMKENT|KG|116.85|42.3617|69.4750|422.0
39|DZHAMBUL|MH|117.90|42.8667|71.2833|666.0
35|TSELINOGRAD|JK|117.70|51.0333|71.4667|355.0
35|OSH|UU0|117.70|40.6083|72.7983|892.0
16|KARAGANDA|GC|116.75|49.6667|73.3333|538.0
23|FRUNZE|VG|117.10|43.0667|74.4667|627.0
27|BALKHASH|QG|117.30|46.9000|75.0000|441.0
02|ALMA-ATA|PS|116.05|43.3500|77.0167|681.0
23|PAVLODAR|BY|117.10|52.1883|77.0750|125.0
03|TALDY-KURGAN|SZ|116.10|45.1000|78.4333|589.0
11|SEMIPALATINSK|QH|116.50|50.3467|80.2517|232.0
36|UST-KAMENOGORSK|RP|117.75|50.0333|82.5067|286.0
11|BAKU Nasosnaya|GU|116.50|40.6017|49.5617|-4.0
23|BAKU Bina|OG|117.10|40.4733|50.0550|3.0
24|SUKHUMI|AV|117.15|42.8667|41.1167|16.0
04|BATUMI|00|116.15|41.6000|41.5833|4.0
21|KUTAISI|UY|117.00|42.1833|42.4667|68.0
06|GYUMRI|CS|116.25|40.7500|43.8667|1524.0
35|YEREVAN|BQ|117.70|40.1333|44.4167|865.0
26|TBILISI|RF|117.25|41.6667|44.9500|495.0
36|NAKHICHEVAN|TP|117.75|39.1917|45.4583|873.0
16|TURKMENBASHI|WZ|116.75|40.0500|53.0000|86.0
23|ASHKHABAD|PQ|117.10|37.9867|58.3667|211.0
34|MARY-1|AV|117.65|37.6133|61.8950|225.0
30|CHARDZHOU|UT|117.45|39.0900|63.6117|192.0
27|KARSHI|WF|117.30|38.8233|65.9200|416.0
20|SAMARKAND|MZ|116.95|39.7000|66.9667|678.0
05|KAKAYDY|TD|116.20|37.6233|67.5167|368.0
02|DUSHANBE|FN|116.05|38.5417|68.8133|785.0
22|TASHKENT Yuzhny|NG|117.05|41.2550|69.2800|432.0
31|TASHKENT Vostochny|IS|117.50|41.3150|69.3900|483.0
36|KHUDZHAND|VF|117.75|40.2133|69.7017|442.0
29|FERGANA|ZU|117.40|40.3567|71.7483|604.0
30|ANDIZHAN|AL|117.45|40.7250|72.2917|462.0
10|TALLIN|LK|116.45|59.4150|24.8133|40.0
38|RIGA|RP|117.85|56.8983|23.9683|11.0
25|VILNIUS|BK|117.20|54.6417|25.2983|197.0
25|MARKULESHTY|0|117.20|47.8667|28.2150|101.0
02|KISHINEV|AZ|116.05|46.9417|28.8967|122.0
07|ALTENBURG|PN|116.30|50.9831|12.5064|195.0
36|BRIEST|UT|177.75|52.4364|12.4603|31.0
32|DAMGARTEN|MA|117.55|54.2656|12.4325|5.0
39|DRESDEN|FO|117.90|51.1331|13.7658|230.0
13|DREWITZ|RD|116.60|51.8922|14.5328|84.0
34|FALKENBERG|BL|117.65|51.5500|13.2242|87.0
09|HOLZDORF|HX|116.40|51.7653|13.1675|81.0
40|LAAGE|LR|117.95|53.9144|12.2733|42.0
31|MARXWALDE|BU|117.50|52.6103|14.2497|11.0
23|MERSEBURG|DK|117.10|51.3631|11.9167|102.0
16|PEENEMUNDE|NE|116.75|54.1589|13.7583|2.0
33|PRESCHEN|KL|117.60|51.6592|14.6278|102.0
22|WITTSTOCK|GJ|117.05|53.2061|12.5308|72.0
17|ZERBST|KJ|116.80|52.0019|12.1467|78.0

