|4||   |L
LTBJ |4|.30|   |L
LTBJ |5|ATIS 129.20
LTBJ |5|GRND 121.90
LTBJ |5|TWR  118.10
LTBJ |5|APR  119.50
LTBJ |5|APR  119.77
LTBJ |5|APR  120.10
LTBJ |5|APR  120.17
SNAH |4|.57|   |L
EN01 |4|260|   |L
T31  |4|214|   |L
T31  |5|UNIC 122.90
SDNY |4|.74|   |L
SWNV |4|.62|   |L
12N  |4|006|   |L
12N  |5|UNIC 122.80
12N  |5|APR  127.60
MRAO |4|415|   |L
KAFO |4|718|HRD|L
KAFO |5|ATIS 119.02
KAFO |5|UNIC 122.80
LTAH |4|.73|   |L
LTAH |4|.73|   |L
LTAH |5|TWR  122.10
LTAH |5|APR  122.10
79TX |4|077|   |L
VEAT |4|897|   |L
VEAT |5|TWR  122.70
VEAT |5|TWR  123.50
VOAT |4|818|   |L
HL58 |4|768|   |L
OIAG |4|752|   |L
OIAG |5|TWR  123.50
OIAG |5|TWR  122.10
YAWT |4|.19|   |L
YAGN |4|.14|   |L
VIAG |4|149|   |L
VIAG |4|161|   |L
VIAG |5|TWR  122.30
VIAG |5|APR  122.30
LTCO |4|663|   |L
LTCO |5|TWR  118.47
SJSS |4|.50|   |L
LGAG |4|602|   |L
LGAG |5|TWR  123.65
LGAG |5|TWR  122.10
5CA7 |4|339|   |L
5CA7 |5|UNIC 122.90
L70  |4|499|   |L
L70  |5|UNIC 122.90
MM65 |4|259|   |L
MM65 |4|249|   |L
MM75 |4|245|   |L
MMAL |4|322|   |L
MM44 |4|003|   |L
SKOC |4|309|   |L
SKOC |5|TWR  118.40
7FD9 |4|627|   |L
NTHE |4|.42|   |L
NTHE |5|UNIC 118.90
VAAH |4|066|   |L
VAAH |5|ATIS 126.80
VAAH |5|TWR  118.10
VAAH |5|APR  119.80
VAAH |5|APR  123.75
VAAH |5|APR  119.60
VAAH |5|APR  118.10
OIAW |4|346|   |L
OIAW |5|ATIS 126.40
OIAW |5|TWR  122.70
OIAW |5|TWR  121.90
OIAW |5|TWR  121.10
YALR |4|.64|   |L
DAAQ |4|.52|   |L
DAAQ |4|.52|   |L
06TE |4|312|   |L
KANW |4|585|HRD|L
KANW |4|587|HRD|L
KANW |5|ATIS 118.32
KANW |5|UNIC 122.80
GQNA |4|705|   |L
GQNA |5|TWR  118.90
F69  |4|275|   |L
F69  |5|UNIC 122.90
60TA |4|330|   |L
60TA |5|UNIC 122.97
KILN |4|.41|   |L
KILN |4|.41|   |L
KILN |5|ATIS 126.67
KILN |5|ATIS 124.92
KILN |5|UNIC 119.47
KILN |5|CLR  125.60
KILN |5|GRND 121.60
KILN |5|TWR  119.47
KILN |5|TWR  125.60
KILN |5|APR  118.85
CEF4 |4|268|   |L
CEF4 |4|265|   |L
CEF4 |4|265|   |L
CEF4 |4|257|   |L
CEF4 |5|UNIC 122.90
2IS  |4|747|   |L
2IS  |5|ATIS 124.17
2IS  |5|UNIC 123.05
KLVN |4|630|   |L
KLVN |5|UNIC 123.00
KLVN |5|CLR  118.95
KLVN |5|APR  125.00
2VA9 |4|753|   |L
KAIT |4|556|   |L
KAIT |4|545|   |L
KAIT |5|ATIS 118.67
KAIT |5|UNIC 123.05
KAIT |5|APR  118.05
VEAZ |4|741|   |L
VEAZ |5|TWR  122.30
DN51 |4|453|   |L
VI90 |4|449|   |L
LTBT |4|.81|   |L
LTBT |4|.81|   |L
LTBT |5|TWR  122.10
LTBT |5|APR  120.10
PFAK |4|899|   |L
PFAK |5|UNIC 122.90
FO22 |4|.13|   |L
LTAE |4|066|   |L
LTAE |5|TWR  122.10
LTAE |5|APR  119.10
LTAE |5|APR  119.60
LTAE |5|APR  122.10
RJSK |4|616|   |L
RJSK |5|TWR  127.10
RJSK |5|TWR  126.20
RJSK |5|TWR  118.60
CYKD |4|226|   |L
CYKD |5|UNIC 122.10
VAAK |4|700|   |L
9G3  |4|018|   |L
9G3  |4|021|   |L
9G3  |5|UNIC 122.72
9G3  |5|APR  126.15
KCAK |4|907|   |L
KCAK |4|907|   |L
KCAK |5|ATIS 121.05
KCAK |5|UNIC 122.95
KCAK |5|CLR  132.05
KCAK |5|GRND 121.70
KCAK |5|TWR  118.30
KCAK |5|APR  118.60
KCAK |5|APR  125.50
KCAK |5|APR  126.40
KAKR |4|033|   |L
KAKR |4|034|   |L
KAKR |5|ATIS 126.82
KAKR |5|UNIC 123.07
KAKR |5|APR  118.60
UATE |4|.86|HRD|L
UATE |4|866|HRD|L
UATE |5|ATIS 130.10
UATE |5|TWR  120.70
UATE |5|APR  124.20
LGPZ |4|.92|   |L
LGPZ |5|TWR  122.10
LGPZ |5|TWR  120.45
LGPZ |5|APR  120.45
LGPZ |5|APR  122.10
UATT |4|255|   |L
UATT |5|TWR  120.90
UATT |5|APR  120.90
CYKO |4|816|   |L
CYKO |5|UNIC 122.10
CYKO |5|TWR  122.10
DNAK |4|235|   |L
DNAK |5|TWR  118.20
BIAR |4|645|   |L
BIAR |5|TWR  118.20
BIAR |5|APR  118.70
BIAR |4||   |L
BIAR |4||   |L
BIAR |4||   |L
BIAR |4||   |L
BIAR |4||   |L
BIAR |4||HRD|L
BIAR |4||   |L
BIAR |4||   |L
BIAR |4||   |L
BIAR |4||HRD|L
BIAR |4||   |L
BIAR |4||   |L
OEAH |4|298|   |L
OEAH |5|UNIC 122.80
OMAL |4|243|   |L
OMAL |5|GRND 129.15
OMAL |5|TWR  119.85
OMAL |5|APR  119.85
OS73 |4|782|   |L
HEAL |4|934|   |L
HEAL |5|GRND 121.90
HEAL |5|TWR  120.00
HEAL |5|TWR  123.40
OY74 |4|170|   |L
OE52 |4|604|   |L
ORAA |4|.78|   |L
ORAA |4|.78|   |L
ORAA |4|.77|   |L
ORAA |5|GRND 121.17
ORAA |5|TWR  131.22
ORAA |5|APR  118.60
ORAA |5|APR  127.87
OYBA |4|712|   |L
OEBA |4|291|   |L
OEBA |5|UNIC 122.80
HL68 |4|464|   |L
OMAM |4|.25|   |L
OMAM |4|.24|   |L
OMAM |5|TWR  118.30
OMAM |5|APR  124.40
OMAM |5|APR  124.50
OYGD |4|191|   |L
OYGD |5|GRND 121.60
OYGD |5|TWR  119.30
HL81 |4|530|   |L
HL81 |4|538|   |L
OMAH |4|085|   |L
HE44 |4|607|   |L
HE44 |5|TWR  118.50
HE44 |5|TWR  118.10
HE44 |5|APR  119.10
OESK |4|787|   |L
OESK |5|UNIC 122.80
OESK |5|GRND 121.90
OESK |5|TWR  118.90
HL69 |4|212|   |L
HL59 |4|012|   |L
OE51 |4|057|   |L
OTBK |4|635|   |L
OTBK |5|TWR  120.45
HL70 |4|270|   |L
OE46 |4|478|   |L
HE32 |4|975|   |L
HE32 |4|981|   |L
HL60 |4|530|   |L
OS70 |4|571|   |L
ORSH |4|.67|   |L
ORSH |4|.68|   |L
ORSH |5|APR  128.20
ORSH |5|APR  129.75
ORSH |5|APR  126.10
OM01 |4|758|   |L
ORTI |4|531|   |L
ORTI |5|UNIC 122.00
ORTI |5|TWR  126.00
ORAT |4|.34|   |L
ORAT |4|.34|   |L
ORAT |5|TWR  135.77
ORAT |5|APR  125.25
OTBH |4|133|   |L
OTBH |5|ATIS 123.75
OTBH |5|GRND 135.50
OTBH |5|TWR  125.50
OTBH |5|TWR  126.45
HL57 |4|188|   |L
HL57 |4|180|   |L
SDUO |4|.18|   |L
YAMN |4|.53|   |L
KALM |4|833|   |L
KALM |4|848|   |L
KALM |5|ATIS 127.82
KALM |5|UNIC 122.80
KALM |5|APR  120.60
KALM |5|DEP  128.10
MM45 |4|041|   |L
SE01 |4|.16|   |L
KALB |4|737|   |L
KALB |4|749|   |L
KALB |5|ATIS 120.45
KALB |5|UNIC 122.95
KALB |5|CLR  127.50
KALB |5|GRND 121.70
KALB |5|TWR  119.50
KALB |5|APR  118.05
KALB |5|APR  125.00
S12  |4|641|   |L
S12  |5|UNIC 122.80
S12  |5|APR  127.50
K19  |4|257|   |L
K19  |5|UNIC 122.90
T23  |4|723|   |L
T23  |5|UNIC 122.90
YAPK |4|.08|   |L
LIMG |4|050|   |L
LIMG |5|TWR  123.85
LIMG |4||   |L
LIMG |4||HRD|L
LIMG |4||   |L
LIMG |4||   |L
KOAJ |4|822|   |L
KOAJ |5|ATIS 124.47
KOAJ |5|UNIC 123.00
KOAJ |5|APR  121.40
5Y1  |4|035|   |L
5Y1  |5|UNIC 122.90
KAEL |4|687|   |L
KAEL |4|679|   |L
KAEL |5|UNIC 123.00
KAEL |5|APR  119.80
SVMD |4|578|   |L
SVMD |5|GRND 121.90
SVMD |5|TWR  118.05
MUTD |4|783|   |L
MUTD |5|TWR  122.50
SKSO |4|669|   |L
SKSO |5|TWR  118.35
KFEP |4|239|   |L
KFEP |4|251|   |L
KFEP |4|250|   |L
KFEP |5|ATIS 119.02
KFEP |5|UNIC 122.80
KFEP |5|CLR  121.85
KFEP |5|APR  126.00
8A0  |4|223|   |L
8A0  |5|ATIS 119.57
8A0  |5|UNIC 123.00
8A0  |5|APR  132.15
8A0  |4||   |L
8A0  |4||   |L
8A0  |4||   |L
8A0  |4||   |L
8A0  |4||   |L
8A0  |4||   |L
8A0  |4||   |L
4C8  |4|999|   |L
4C8  |5|UNIC 122.80
YALH |4|.70|   |L
YALH |4|715|   |L
KBVN |4|733|HRD|L
KBVN |5|ATIS 118.57
KBVN |5|UNIC 122.90
MPMG |4|981|   |L
MPMG |5|GRND 121.70
MPMG |5|TWR  118.30
MPMG |5|APR  119.70
MPMG |5|APR  123.30
MPMG |5|APR  119.20
MPMG |5|APR  121.20
LERI |4|954|   |L
LERI |5|TWR  118.10
YALC |4|.79|   |L
YALC |5|UNIC 126.70
YADR |4|661|   |L
SSLT |4|.80|   |L
OSAP |4|182|   |L
OSAP |5|TWR  118.10
OSAP |5|TWR  119.10
OSAP |5|APR  118.10
OSAP |5|APR  119.10
CYLT |4|512|   |L
18TE |4|585|   |L
18TE |5|UNIC 122.80
E80  |4|638|   |L
E80  |5|UNIC 122.90
E80  |5|APR  123.90
KAMT |4|847|   |L
KAMT |5|UNIC 122.80
LGAX |4|656|   |L
LGAX |5|TWR  123.50
HEAX |4|174|   |L
HEAX |4|193|   |L
HEAX |5|TWR  120.30
HEAX |5|APR  120.30
KAEX |4|337|   |L
KAEX |4|336|   |L
KAEX |5|ATIS 123.97
KAEX |5|UNIC 127.35
KAEX |5|CLR  121.90
KAEX |5|GRND 121.90
KAEX |5|TWR  127.35
KAEX |5|APR  132.05
SPNC |4|.88|   |L
SPAS |4|.79|   |L
SKCL |4|529|   |L
SKCL |5|TWR  118.10
SKCL |5|TWR  121.90
SKCL |5|APR  119.10
SKCL |5|GRND 121.90
SKCL |5|GRND 126.70
SKCL |5|GRND 121.50
SKCL |5|ATIS 115.50
SKCL |5|ATIS 125.00
SKCL |4||   |L
SKCL |4||HRD|L
