|4||   |L
UB18 |4|418|   |L
ORBD |4|945|   |L
ORBD |4|956|   |L
ORBD |5|GRND 128.75
ORBD |5|TWR  119.87
ORBD |5|APR  131.90
YBVA |4|.08|   |L
YBVA |4|.08|   |L
USCC |4|309|   |L
USCC |5|TWR  125.20
USCC |5|APR  124.70
USCC |5|APR  124.00
LHSM |4|697|   |L
LHSM |4|.69|   |L
LHSM |5|TWR  135.70
LHSM |5|TWR  127.60
LHSM |5|TWR  127.60
SWBL |4|.92|   |L
YBII |4|716|   |L
SA2O |4|.91|   |L
SA2O |4|.91|   |L
SA2P |4|.56|   |L
SA2Q |4|.73|   |L
LB25 |4|434|   |L
YBLI |4|.32|   |L
KMLJ |4|154|   |L
KMLJ |5|ATIS 120.92
KMLJ |5|UNIC 122.80
KMLJ |5|APR  119.60
KMLJ |5|APR  124.20
7D3  |4|875|   |L
7D3  |4|873|   |L
7D3  |5|UNIC 122.90
RPUR |4|726|   |L
LTBF |4|632|   |L
LTBF |5|ATIS 123.92
LTBF |5|TWR  122.10
LTBF |5|APR  122.10
LTFD |4|548|   |L
LTFD |5|GRND 121.90
LTFD |5|TWR  119.70
AYBM |4|.05|   |L
UAAH |4|887|   |L
UAAH |5|TWR  128.00
YLMA |4|.24|   |L
YONE |4|.29|   |L
LUBL |4|847|   |L
LUBL |5|TWR  122.30
LUBL |4||   |L
LUBL |4||HRD|L
LUBL |4||   |L
LUBL |4||   |L
LUBL |4||   |L
LUBL |4||   |L
LUBL |4||   |L
LUBL |4||   |L
LUBL |4||   |L
LUBL |4||   |L
HE22 |4|998|   |L
OIKM |4|092|   |L
OIKM |5|TWR  124.15
YBMM |4|254|   |L
99N  |4|300|   |L
99N  |5|UNIC 122.80
SNBY |4|.03|   |L
FKKV |4|050|   |L
FKKV |5|TWR  118.30
YBBS |4|.37|   |L
YBBS |4|380|   |L
VLHS |4|264|   |L
ENNA |4|081|   |L
ENNA |5|TWR  118.90
ENNA |5|TWR  122.10
ENNA |5|TWR  118.05
MGBN |4|474|   |L
SE58 |4|.34|   |L
VI76 |4|999|   |L
OIKB |4|.20|   |L
OIKB |4|.20|   |L
OIKB |5|ATIS 128.65
OIKB |5|TWR  121.90
OIKB |5|TWR  118.10
OIKB |5|APR  124.20
OIBL |4|530|   |L
OIBL |5|TWR  122.55
OIBL |5|TWR  121.70
VCBI |4|168|   |L
VCBI |5|ATIS 127.20
VCBI |5|GRND 121.90
VCBI |5|TWR  118.70
VCBI |5|TWR  123.80
VCBI |5|APR  120.90
FMCI |4|.29|   |L
FMCI |5|TWR  119.70
OP12 |4|836|   |L
SSBR |4|.06|   |L
WIPD |4|.78|HRD|L
LTBG |4|331|   |L
LTBG |5|ATIS 128.35
LTBG |5|GRND 121.95
LTBG |5|TWR  122.10
LTBG |5|APR  122.10
FZBO |4|.30|   |L
FZBO |5|TWR  118.30
FZBO |5|TWR  118.90
FZIC |4|490|   |L
FZIC |5|TWR  121.10
FZIC |5|APR  125.90
FZIC |5|APR  130.90
KBGR |4|818|   |L
KBGR |5|ATIS 127.75
KBGR |5|ATIS 127.75
KBGR |5|UNIC 122.95
KBGR |5|CLR  135.90
KBGR |5|GRND 121.90
KBGR |5|TWR  120.70
KBGR |5|APR  124.50
KBGR |5|APR  118.92
FEFF |4|409|   |L
FEFF |5|TWR  119.70
LQBK |4|952|   |L
LQBK |5|TWR  118.95
LQBK |5|APR  118.95
YBKA |4|646|   |L
VYBM |4|275|   |L
VYBM |5|TWR  118.70
YBNC |4|495|   |L
VA51 |4|590|   |L
SKMG |4|286|   |L
SKMG |5|TWR  118.70
SA2R |4|.81|   |L
SA2S |4|.86|   |L
YBKU |4|440|   |L
YBAB |4|189|   |L
VEBI |4|697|   |L
VEBI |5|TWR  122.30
VIBY |4|426|   |L
VIBY |5|TWR  123.50
VIBY |5|APR  122.70
YBEY |4|623|   |L
YBEY |4|.62|   |L
KNBJ |4|388|   |L
KNBJ |4|396|   |L
SVBI |4|620|   |L
SVBI |4|612|   |L
SVBI |5|GRND 121.90
SVBI |5|TWR  118.00
VGBR |4|809|   |L
VGBR |5|TWR  122.90
PHBK |4|030|   |L
PHBK |5|UNIC 122.80
PHBK |5|TWR  126.20
KPAH |4|053|   |L
KPAH |4|066|   |L
KPAH |5|ATIS 118.37
KPAH |5|UNIC 119.60
KPAH |5|UNIC 123.00
KPAH |5|GRND 121.70
KPAH |5|TWR  119.60
YBAW |4|.48|   |L
KBAD |4|516|   |L
KBAD |5|GRND 121.80
KBAD |5|TWR  128.25
KBAD |5|APR  119.90
KBAD |5|APR  123.75
YBME |4|140|   |L
UNBB |4|358|   |L
UNBB |5|TWR  123.50
UNBB |5|APR  129.00
UNBB |5|APR  120.30
UNBB |5|APR  124.00
6D8  |4|947|   |L
6D8  |4|945|   |L
6D8  |4|936|   |L
6D8  |4|939|   |L
6D8  |5|UNIC 122.80
KBAF |4|145|   |L
KBAF |4|163|   |L
KBAF |5|ATIS 127.10
KBAF |5|UNIC 118.90
KBAF |5|CLR  121.70
KBAF |5|GRND 121.70
KBAF |5|TWR  118.90
KBAF |5|APR  125.35
6G5  |4|002|   |L
6G5  |5|UNIC 123.00
TE99 |4|025|   |L
YBAA |4|823|   |L
YBCX |4|.34|   |L
SVBM |4|040|   |L
SVBM |5|GRND 121.90
SVBM |5|TWR  123.50
SVBM |5|APR  120.70
SVBM |5|APR  119.40
MRBC |4|773|   |L
SBBW |4|.86|   |L
SBBW |5|TWR  125.90
YBBA |4|.38|   |L
VE31 |4|772|   |L
YBDX |4|862|   |L
YBJP |4|.21|   |L
YBRT |4|.96|   |L
YRIA |4|.00|   |L
YBNP |4|.33|   |L
YBRC |4|.53|   |L
KDAG |4|851|   |L
KDAG |4|852|   |L
KDAG |5|ATIS 132.17
KDAG |5|UNIC 123.00
PABA |4|134|   |L
PABA |4|140|   |L
PABA |5|ATIS 120.00
PABA |5|UNIC 126.20
PABA |5|UNIC 122.80
PABA |5|TWR  122.00
PABA |5|APR  120.60
9A5  |4|681|   |L
9A5  |5|ATIS 119.77
9A5  |5|UNIC 122.80
9A5  |5|APR  125.10
EYSB |4|071|   |L
EYSB |5|TWR  122.05
YBYL |4|.21|   |L
RPUF |4|976|   |L
RPUF |5|TWR  126.17
RPUF |5|TWR  118.10
SA2T |4|.35|   |L
RPUO |4|448|   |L
RPUO |5|TWR  123.50
SBAN |4|6.2|   |L
SBAN |4|6.2|   |L
SBAN |5|GRND 121.90
SBAN |5|TWR  121.25
SBAN |5|TWR  118.30
SBAN |5|APR  133.00
SBAN |5|APR  129.45
SBAN |5|APR  119.15
SBAN |5|APR  120.55
SBST |4|.92|   |L
SBST |5|TWR  122.80
SBST |5|TWR  118.30
SBST |5|APR  119.80
SBST |5|APR  120.05
SBST |5|APR  129.50
SBTA |4|.04|   |L
SBTA |5|GRND 121.70
SBTA |5|TWR  119.90
SAWB |4|.24|   |L
SAWB |5|TWR  118.10
SAWB |5|TWR  118.50
ORBR |4|541|   |L
ORMM |4|562|   |L
ORMM |5|GRND 125.90
ORMM |5|TWR  118.70
ORMM |5|APR  119.40
GMFM |4|872|   |L
GMFM |4|882|   |L
OSLK |4|413|   |L
OSLK |5|TWR  121.90
OSLK |5|TWR  118.10
OSLK |5|APR  129.60
OSLK |5|APR  120.00
OIBH |4|210|   |L
FGBT |4|898|   |L
FGBT |5|TWR  118.80
LYBT |4|.94|   |L
LYBT |4|.93|   |L
LYBT |4|934|   |L
YBTV |4|659|   |L
OMAD |4|437|   |L
OMAD |5|GRND 121.90
OMAD |5|TWR  119.90
OMAD |5|APR  124.40
OMAD |5|APR  128.10
KBVX |4|723|   |L
KBVX |4|733|   |L
KBVX |5|ATIS 126.85
KBVX |5|UNIC 122.80
CZBF |4|628|   |L
CZBF |5|UNIC 122.80
UA30 |4|049|   |L
LTCJ |4|916|   |L
LTCJ |5|GRND 121.95
LTCJ |5|TWR  122.10
LTCJ |5|APR  122.10
DABT |4|744|   |L
DABT |5|TWR  118.10
DABT |5|TWR  119.70
KBTR |4|540|   |L
KBTR |4|.52|   |L
KBTR |4|.52|   |L
KBTR |5|ATIS 125.20
KBTR |5|UNIC 118.45
KBTR |5|UNIC 122.95
KBTR |5|CLR  119.40
KBTR |5|GRND 121.90
KBTR |5|TWR  118.45
KBTR |5|APR  126.50
KBTR |5|APR  120.30
ENBS |4|596|   |L
ENBS |5|TWR  123.40
VDBG |4|093|   |L
VDBG |5|TWR  122.40
VCCB |4|703|   |L
VCCB |5|TWR  118.10
KBAM |4|605|   |L
KBAM |4|593|   |L
KBAM |5|ATIS 119.45
KBAM |5|UNIC 122.80
WI1B |4|.90|   |L
UGSB |4|617|   |L
UGSB |5|ATIS 120.00
UGSB |5|TWR  118.60
UGSB |5|CLR  118.60
UGSB |5|GRND 118.60
UGSB |5|APR  124.42
UGSB |4||   |L
UGSB |4||TRF|L
UGSB |4||   |L
UGSB |4||   |L
UGSB |4||   |L
KBDE |4|732|   |L
KBDE |5|ATIS 126.77
KBDE |5|UNIC 122.80
SBBU |4|.34|   |L
SBBU |5|ATIS 127.87
SBBU |5|TWR  121.30
SBBU |5|APR  121.30
KBHC |4|712|   |L
KBHC |5|UNIC 122.80
KBYY |4|978|   |L
KBYY |5|ATIS 118.07
KBYY |5|UNIC 122.80
1R8  |4|869|   |L
1R8  |5|UNIC 122.80
1R8  |5|APR  118.50
YBAY |4|.14|   |L
KHPY |4|790|   |L
KHPY |5|UNIC 122.80
KHPY |5|APR  134.45
20U  |4|929|   |L
20U  |5|UNIC 122.80
YBCF |4|.32|   |L
1U7  |4|246|   |L
1U7  |4|254|   |L
1U7  |5|UNIC 122.80
7M3  |4|527|   |L
7M3  |5|UNIC 122.90
YBTC |4|.18|   |L
KBIE |4|309|HRD|L
KBIE |4|305|   |L
KBIE |5|UNIC 122.80
KBTY |4|868|   |L
KBTY |5|UNIC 122.90
KARW |4|409|   |L
KARW |5|UNIC 122.70
KARW |5|APR  118.45
KNBC |4|470|   |L
KNBC |4|484|   |L
KNBC |4|475|   |L
KNBC |4|481|   |L
KNBC |5|GRND 128.15
KNBC |5|TWR  119.05
KNBC |5|APR  123.70
KNBC |5|APR  118.45
KBMT |4|074|   |L
KBMT |4|072|   |L
KBMT |5|UNIC 123.00
KBMT |5|CLR  121.75
KBMT |5|APR  121.30
KDRI |4|838|   |L
KDRI |4|837|   |L
KDRI |5|ATIS 118.22
KDRI |5|UNIC 122.80
KDRI |5|APR  123.70
KBVI |4|772|   |L
KBVI |5|ATIS 118.35
KBVI |5|UNIC 120.30
KBVI |5|CLR  124.85
KBVI |5|GRND 121.80
KBVI |5|TWR  120.30
KBVI |5|APR  124.75
KSJX |4|691|   |L
KSJX |4|695|   |L
KSJX |4|691|   |L
KSJX |5|ATIS 118.07
KSJX |5|UNIC 122.80
K44  |4|803|   |L
K44  |4|794|   |L
K44  |5|UNIC 122.90
PA39 |4|779|   |L
DAOR |4|637|   |L
DAOR |4|658|   |L
K16  |4|558|   |L
K16  |5|UNIC 122.80
HL74 |4|513|   |L
KHMZ |4|090|   |L
KHMZ |5|UNIC 122.70
YBDF |4|279|   |L
YBDF |4|287|   |L
YBEA |4|.30|   |L
KPVE |4|648|   |L
KPVE |5|ATIS 118.12
KPVE |5|UNIC 123.00
KPVE |5|UNIC 123.00
KPVE |5|APR  125.85
YBEW |4|912|   |L
YBFM |4|752|   |L
YERY |4|.96|   |L
KBEA |4|365|   |L
KBEA |4|372|   |L
KBEA |5|UNIC 122.80
UWKE |4|557|   |L
UWKE |4|557|   |L
UWKE |5|TWR  121.20
UWKE |5|APR  129.00
UWKE |5|APR  127.90
UWKE |5|APR  124.00
RCMT |4|219|   |L
RCMT |5|TWR  118.65
RCMT |5|TWR  118.10
RCMT |5|APR  125.50
RCMT |5|APR  123.40
OYBN |4|789|   |L
LPBJ |4|.06|   |L
LPBJ |4|.06|   |L
LPBJ |5|TWR  122.10
LPBJ |5|TWR  130.40
LPBJ |5|APR  130.10
OP14 |4|333|   |L
SA44 |4|.70|   |L
SA2U |4|.29|   |L
UT1O |4|054|   |L
VABM |4|858|   |L
VABM |5|TWR  123.50
UUOB |4|649|   |L
UUOB |4|648|   |L
UUOB |5|GRND 121.70
UUOB |5|TWR  118.20
UUOB |5|APR  133.00
UUOB |5|APR  124.00
SA05 |4|2.6|   |L
SA05 |4|2.6|   |L
SA26 |4|.52|   |L
YBLH |4|.01|   |L
YBLH |4|005|   |L
VOBI |4|165|   |L
YBET |4|915|   |L
3V7  |4|125|   |L
3V7  |5|UNIC 122.90
KEFC |4|739|   |L
KEFC |4|739|   |L
KEFC |5|UNIC 122.80
X10  |4|700|   |L
X10  |5|UNIC 122.90
KTZT |4|883|   |L
KTZT |5|UNIC 122.80
KTZT |5|APR  119.70
KEDJ |4|369|   |L
KEDJ |5|ATIS 118.07
KEDJ |5|UNIC 122.80
KEDJ |5|APR  127.65
N96  |4|882|   |L
N96  |5|APR  134.80
N96  |5|UNIC 122.80
KRPB |4|823|   |L
KRPB |4|818|   |L
KRPB |5|UNIC 122.80
YBVE |4|.51|   |L
KBLI |4|801|   |L
KBLI |5|ATIS 134.45
KBLI |5|UNIC 124.90
KBLI |5|UNIC 122.95
KBLI |5|GRND 127.40
KBLI |5|TWR  124.90
KBLI |5|APR  132.70
44C  |4|495|   |L
44C  |5|UNIC 122.70
44C  |5|APR  121.00
UB16 |4|757|   |L
1CA1 |4|472|   |L
1CA1 |5|UNIC 122.90
1M2  |4|141|   |L
1M2  |5|UNIC 122.90
KBJI |4|515|   |L
KBJI |4|506|   |L
KBJI |5|ATIS 119.27
KBJI |5|UNIC 122.80
4TE8 |4|328|   |L
GMMB |4|666|   |L
GMMB |5|TWR  118.20
GMMB |5|APR  121.30
3U7  |4|487|   |L
3U7  |5|UNIC 122.90
KBDN |4|101|   |L
KBDN |5|ATIS 134.42
KBDN |5|UNIC 123.00
YBND |4|.50|   |L
YBDG |4|.73|HRD|L
YBDG |4|.74|   |L
YBDG |5|UNIC 119.30
SIBD |4|.75|   |L
X54  |4|.65|   |L
X54  |4|659|   |L
X54  |4|.65|   |L
X54  |5|UNIC 122.90
FNBG |4|.60|   |L
FNBG |5|TWR  118.70
HEBS |4|182|   |L
HEBS |4|211|   |L
HEBS |5|GRND 127.10
HEBS |5|TWR  127.10
HL54 |4|747|   |L
DNBE |4|309|   |L
DNBE |5|TWR  122.50
HLLB |4|.11|   |L
HLLB |4|.11|   |L
HLLB |5|GRND 121.30
HLLB |5|TWR  118.10
HLLB |5|APR  127.00
HLLB |5|APR  126.50
HLLB |5|APR  129.20
HLLB |5|DEP  127.00
YBEG |4|655|   |L
SKNV |4|942|   |L
SKNV |5|TWR  127.10
SKNV |5|TWR  118.25
2XS8 |4|233|   |L
E95  |4|001|   |L
E95  |5|UNIC 122.80
KBBB |4|336|   |L
KBBB |5|UNIC 122.80
VE85 |4|097|   |L
YBTK |4|.08|   |L
0M4  |4|007|   |L
0M4  |5|UNIC 122.80
H96  |4|014|   |L
H96  |5|UNIC 122.80
KVBT |4|351|   |L
KVBT |5|ATIS 134.97
KVBT |5|UNIC 122.80
KVBT |5|CLR  121.05
KVBT |5|APR  121.00
HCMI |4|376|   |L
HCMI |5|TWR  123.90
FEFT |4|229|   |L
FEFT |5|TWR  118.70
FEFT |5|TWR  118.30
50J  |4|181|   |L
50J  |5|UNIC 123.05
50J  |5|APR  135.80
KBML |4|581|   |L
KBML |5|ATIS 135.17
KBML |5|UNIC 122.70
SLBJ |4|.78|   |L
SLBJ |5|TWR  118.10
KUDD |4|751|   |L
KUDD |5|UNIC 122.80
KUDD |5|APR  135.27
SATI |4|.29|   |L
SA2V |4|.38|   |L
YBRI |4|.29|   |L
4J2  |4|212|   |L
4J2  |5|UNIC 122.70
4J2  |5|APR  119.52
4J2  |5|APR  126.60
4A0  |4|537|   |L
4A0  |5|UNIC 122.80
SNND |4|.93|   |L
FMNQ |4|.74|   |L
URMO |4|207|   |L
URMO |5|TWR  118.10
URMO |5|APR  125.20
ULPB |4|874|   |L
ULPB |5|TWR  128.00
KEKY |4|307|   |L
KEKY |5|ATIS 118.82
KEKY |5|UNIC 123.00
KEKY |5|CLR  123.75
KEKY |5|APR  124.90
YBSN |4|.64|   |L
YBES |4|586|   |L
PABE |4|787|   |L
PABE |4|781|   |L
PABE |4|.77|   |L
PABE |4|.77|   |L
PABE |4|781|   |L
PABE |5|ATIS 119.80
PABE |5|UNIC 118.70
PABE |5|UNIC 122.00
PABE |5|GRND 121.70
PABE |5|TWR  118.70
PABE |5|APR  125.20
PABE |5|DEP  125.20
0B1  |4|428|   |L
0B1  |5|UNIC 122.90
PABT |4|907|   |L
PABT |5|ATIS 135.45
PABT |5|UNIC 122.90
95D  |4|253|   |L
95D  |5|UNIC 122.90
KBVY |4|579|   |L
KBVY |4|591|   |L
KBVY |5|ATIS 119.20
KBVY |5|UNIC 125.20
KBVY |5|UNIC 122.95
KBVY |5|GRND 121.60
KBVY |5|TWR  125.20
KBVY |5|APR  124.40
LB44 |4|460|   |L
VNCG |4|571|   |L
VNCG |5|TWR  122.30
VNCG |5|TWR  122.50
OPBG |4|051|   |L
OPBG |4|063|   |L
VI82 |4|587|   |L
VIBT |4|278|   |L
VABV |4|748|   |L
VABV |5|TWR  120.80
VA1E |4|290|   |L
VI20 |4|077|   |L
FABE |4|.90|   |L
FABE |5|APR  120.10
VIBW |4|839|   |L
VABP |4|291|   |L
VABP |4|285|   |L
VABP |5|TWR  124.30
VABP |5|APR  124.30
VEBS |4|257|   |L
VEBS |4|240|   |L
VEBS |5|ATIS 126.80
VEBS |5|TWR  125.15
VEBS |5|APR  123.50
VABJ |4|279|   |L
VABJ |5|TWR  123.50
VABJ |5|APR  123.50
0A8  |4|937|   |L
0A8  |5|UNIC 122.80
YBIC |4|.77|   |L
KBYS |4|274|   |L
KBYS |4|285|   |L
KBYS |5|TWR  134.10
KBYS |5|TWR  118.17
VOBR |4|896|   |L
VOBR |4|904|   |L
LILE |4|501|   |L
LILE |5|TWR  123.05
VV02 |4|.97|   |L
VV02 |4|.97|   |L
3TE3 |4|469|   |L
TX73 |4|835|   |L
59FD |4|321|   |L
7V3  |4|524|   |L
7V3  |4|530|   |L
7V3  |5|UNIC 122.90
PAGQ |4|536|   |L
PAGQ |5|UNIC 122.80
PABM |4|361|   |L
2OR1 |4|825|   |L
2OR1 |5|UNIC 122.80
KBPI |4|592|HRD|L
KBPI |4|576|HRD|L
KBPI |5|ATIS 135.22
KBPI |5|UNIC 122.80
5AL5 |4|695|   |L
3U8  |4|161|   |L
3U8  |4|166|   |L
3U8  |4|164|   |L
3U8  |5|UNIC 122.90
K22  |4|745|   |L
K22  |5|ATIS 120.17
K22  |5|UNIC 123.05
K22  |5|APR  119.75
S85  |4|153|   |L
S85  |5|UNIC 122.80
KBPG |4|226|   |L
KBPG |4|206|   |L
KBPG |5|ATIS 118.02
KBPG |5|UNIC 122.80
6S0  |4|801|   |L
6S0  |4|807|   |L
6S0  |5|UNIC 122.80
KFOZ |4|786|   |L
KFOZ |5|UNIC 122.90
YBIN |4|524|   |L
KBIF |4|836|   |L
KBIF |5|CLR  125.00
KBIF |5|GRND 121.60
KBIF |5|TWR  127.90
KBIF |5|APR  119.15
KBIF |5|APR  124.25
KBIF |5|DEP  121.30
VABI |4|995|   |L
HE37 |4|388|   |L
HE37 |4|.41|   |L
HE37 |4|.38|   |L
HE37 |4|.41|   |L
HE37 |4|.40|   |L
YBIK |4|917|   |L
YBIK |4|914|   |L
YBIK |4|.90|   |L
YBBL |4|413|   |L
YBLB |4|.81|   |L
YBST |4|.71|   |L
YBGH |4|.27|   |L
YBIL |4|.56|   |L
CYOS |4|595|   |L
CYOS |5|UNIC 123.00
0M0  |4|891|   |L
0M0  |5|UNIC 122.80
KCNP |4|080|HRD|L
KCNP |5|UNIC 122.90
YBON |4|295|   |L
YBIG |4|638|   |L
YBIA |4|.81|   |L
ZBTJ |4|137|   |L
ZBTJ |5|ATIS 126.40
ZBTJ |5|GRND 121.75
ZBTJ |5|TWR  127.90
ZBTJ |5|TWR  130.00
ZBTJ |5|APR  118.20
ZBTJ |5|APR  120.90
YBGY |4|497|   |L
WBGB |4|135|   |L
WBGB |5|ATIS 127.80
WBGB |5|GRND 121.80
WBGB |5|TWR  119.25
WBGB |5|TWR  122.30
HE17 |4|005|   |L
HE36 |4|416|   |L
HL71 |4|336|   |L
YBIY |4|.81|   |L
VNVT |4|481|   |L
VNVT |5|TWR  122.70
VNVT |5|TWR  123.80
YBIR |4|000|   |L
YBIR |4|000|   |L
YBIR |5|UNIC 126.70
PABV |4|.41|   |L
PABV |4|.41|   |L
PABV |5|ATIS 135.55
PABV |5|UNIC 123.00
EPAR |4|661|   |L
OIMB |4|896|   |L
OIMB |4|895|   |L
OIMB |5|TWR  121.70
OIMB |5|TWR  127.10
VA1C |4|452|   |L
YBBH |4|484|   |L
YBDU |4|380|   |L
VERC |4|322|   |L
VERC |5|TWR  122.30
YBDS |4|282|   |L
KDUG |4|468|   |L
KDUG |4|474|   |L
KDUG |4|464|   |L
KDUG |4|474|   |L
KDUG |5|ATIS 119.27
KDUG |5|UNIC 123.00
P04  |4|371|   |L
P04  |4|361|   |L
P04  |5|UNIC 122.80
OEBH |4|997|   |L
OEBH |5|UNIC 122.80
OINJ |4|654|   |L
OINJ |5|TWR  121.90
68TS |4|706|   |L
68TS |5|UNIC 122.70
07R  |4|614|   |L
07R  |5|UNIC 122.90
DAUB |4|801|   |L
RPMF |4|192|   |L
6V5  |4|521|   |L
6V5  |5|UNIC 122.90
GGOV |4|876|   |L
GGOV |5|TWR  124.30
GGOV |5|APR  123.90
GGOV |5|APR  124.30
FOOB |4|079|   |L
YBIZ |4|733|   |L
EN03 |4|236|   |L
YBKD |4|.03|   |L
1MI3 |4|195|   |L
KZUN |4|081|   |L
KZUN |5|UNIC 122.90
YBLS |4|459|   |L
87Y  |4|102|   |L
87Y  |4|104|   |L
87Y  |5|UNIC 122.70
87Y  |5|APR  120.10
YBVL |4|.58|   |L
YBVL |4|582|   |L
71J  |4|434|   |L
71J  |5|UNIC 122.70
71J  |5|APR  125.40
36CN |4|639|   |L
36CN |5|UNIC 122.90
4O3  |4|749|   |L
4O3  |5|UNIC 122.80
1N7  |4|969|   |L
1N7  |5|UNIC 123.00
1N7  |5|APR  127.60
1N7  |5|APR  119.65
46A  |4|853|   |L
46A  |5|UNIC 122.80
KAJZ |4|780|   |L
KAJZ |5|ATIS 134.00
KAJZ |5|UNIC 122.80
KBDG |4|591|   |L
KBDG |5|ATIS 127.75
KBDG |5|UNIC 122.80
0CA9 |4|599|   |L
0CA9 |5|UNIC 122.90
DAAB |4|501|   |L
12TS |4|910|   |L
4K6  |4|736|   |L
4K6  |5|UNIC 122.80
YBMD |4|.87|   |L
N13  |4|996|   |L
N13  |5|UNIC 122.80
N13  |5|APR  126.30
KCNK |4|554|   |L
KCNK |4|552|   |L
KCNK |4|546|   |L
KCNK |5|ATIS 121.22
KCNK |5|UNIC 122.80
KBLU |4|279|   |L
KBLU |5|ATIS 120.07
KBLU |5|UNIC 122.90
KSBU |4|598|   |L
KSBU |4|592|   |L
KSBU |5|UNIC 122.80
57GA |4|673|   |L
CYCP |4|110|   |L
CYCP |5|UNIC 123.20
YBLP |4|192|   |L
MNBL |4|985|   |L
MNBL |5|TWR  118.50
66V  |4|246|   |L
66V  |5|UNIC 122.90
5G7  |4|881|   |L
5G7  |5|UNIC 122.80
5G7  |5|APR  120.80
KHKA |4|947|   |L
KHKA |5|ATIS 135.02
KHKA |5|UNIC 123.05
KHKA |5|APR  134.65
M50  |4|812|   |L
M50  |5|UNIC 122.90
YBOT |4|271|   |L
1J6  |4|104|   |L
1J6  |5|UNIC 122.80
1AR3 |4|976|   |L
KSFD |4|394|   |L
KSFD |4|387|   |L
KSFD |5|ATIS 126.77
KSFD |5|UNIC 122.80
KHBG |4|270|   |L
KHBG |5|ATIS 135.42
KHBG |5|UNIC 122.80
DFOO |4|151|   |L
DFOO |5|TWR  119.70
LR82 |4|208|   |L
LR82 |5|TWR  130.00
LR82 |5|APR  130.00
LR82 |5|DEP  130.00
MPBO |4|340|   |L
SVBK |4|261|   |L
ENBO |4|265|   |L
ENBO |5|ATIS 123.90
ENBO |5|TWR  118.10
ENBO |5|APR  124.00
ENBO |5|APR  119.70
5C1  |4|728|   |L
5C1  |5|UNIC 123.00
YBOL |4|181|   |L
YBOG |4|733|   |L
YBGP |4|049|   |L
KNJM |4|685|   |L
KNJM |5|UNIC 126.45
KNJM |5|TWR  126.45
KNJM |5|APR  119.35
KNJM |5|APR  124.10
6Y1  |4|766|   |L
6Y1  |5|UNIC 122.90
17K  |4|770|   |L
17K  |5|UNIC 122.90
OIMN |4|488|   |L
OIMN |5|TWR  121.90
OIMN |5|TWR  118.20
VEBK |4|648|   |L
HAAB |4|.97|   |L
HAAB |4|.97|   |L
HAAB |5|GRND 121.90
HAAB |5|TWR  118.10
HAAB |5|APR  119.70
1C5  |4|700|   |L
1C5  |5|UNIC 122.90
1C5  |5|APR  119.35
SAZI |4|.19|   |L
SAZI |4|.18|   |L
M17  |4|601|   |L
M17  |5|UNIC 123.00
M17  |5|APR  124.95
YBLG |4|979|   |L
YBLG |4|.97|   |L
YBLL |4|051|   |L
YBLL |5|UNIC 126.70
LIPE |4|541|   |L
LIPE |5|ATIS 134.87
LIPE |5|GRND 129.92
LIPE |5|TWR  129.90
LIPE |5|TWR  120.80
LIPE |5|APR  120.10
LIPE |5|APR  129.90
LIPE |4||   |L
LIPE |4||   |L
LIPE |4||   |L
LIPE |4||   |L
LIPE |4||   |L
LIPE |4||   |L
LIPE |4||HRD|L
LIPE |4||   |L
LIPE |4||   |L
LIPE |4||   |L
LIPE |4||   |L
LIPE |4||   |L
LIPE |4||   |L
UG28 |4|388|   |L
USPP |4|904|   |L
USPP |5|ATIS 126.40
USPP |5|GRND 121.70
USPP |5|TWR  124.00
USPP |5|APR  127.10
KTZR |4|894|   |L
KTZR |5|ATIS 135.92
KTZR |5|UNIC 128.10
KTZR |5|UNIC 122.95
KTZR |5|GRND 121.80
KTZR |5|TWR  128.10
KTZR |5|APR  132.30
KTZR |5|APR  134.35
YBWR |4|383|   |L
LIPB |4|454|   |L
LIPB |4|.45|   |L
LIPB |5|TWR  120.60
SBLP |4|.25|   |L
SBLP |5|TWR  125.90
KSYI |4|566|   |L
KSYI |5|ATIS 119.27
KSYI |5|UNIC 122.80
SA2W |4|.44|   |L
YBBO |4|412|   |L
YBBO |4|.39|   |L
CYVB |4|074|   |L
CYVB |5|UNIC 123.00
YBGE |4|826|   |L
TX13 |4|467|   |L
YBMI |4|229|   |L
6I4  |4|121|   |L
6I4  |5|UNIC 122.80
KHRO |4|269|   |L
KHRO |5|ATIS 121.12
KHRO |5|UNIC 123.00
KBNW |4|054|   |L
KBNW |4|046|   |L
KBNW |5|ATIS 120.92
KBNW |5|UNIC 123.00
KBNW |5|APR  123.90
8M1  |4|595|   |L
8M1  |5|UNIC 122.80
4M2  |4|149|   |L
4M2  |5|UNIC 122.80
D83  |4|016|   |L
D83  |5|UNIC 122.70
YBOB |4|207|   |L
YBTU |4|.70|   |L
YBOY |4|755|   |L
PR10 |4|009|   |L
LY89 |4|022|   |L
LY89 |5|TWR  123.50
28CL |4|029|   |L
28CL |5|UNIC 122.80
HEBA |4|930|   |L
HEBA |4|.91|   |L
HEBA |4|.90|   |L
HEBA |5|TWR  118.90
HEBA |5|TWR  119.10
HEBA |5|APR  122.30
HEBA |5|APR  120.97
HEBA |5|APR  122.80
DTTI |4|724|   |L
DTTI |5|TWR  123.00
RPVW |4|669|   |L
58CL |4|191|   |L
58CL |4|194|   |L
