9X|BROOKS|227000|0|0|195|50632222|-111921667|0|CY
9Y|PINCHER CREEK|311000|0|0|195|49523333|-113998611|3921|CY
A|EZEIZA INTL MINISTRO PISTARINI|237000|0|0|195|-34841639|-58522333|0|SA
A|ALMAZA|490000|0|0|195|30074000|31359445|0|HE
A|DAJIAOCHANG|511000|0|0|195|31985000|118793333|0|ZS
A|XINZHENG ZHENGZHOU|211000|0|0|195|34509211|113867259|0|ZH
A|ANDIZHAN|860000|0|0|195|40711667|72273333|1543|UT
A|ALMATY|763000|0|0|195|43368917|77073333|0|UA
A|SZOLNOK|422000|0|0|195|47105417|20225667|292|LH
A|BUDAPEST|343000|0|0|195|47455047|19210500|0|LH
A|MOKRAYA ZAPORIZHZHIA|608000|0|0|195|47847778|35303056|0|UK
A|MARCULESTI|688000|0|0|195|47854500|28179417|0|LU
A|AKTOBE|400000|0|0|195|50262500|57180833|0|UA
A|BELGOROD|350000|0|0|195|50652167|36565167|735|UU
A|ASTANA|654000|0|0|195|51040917|71494611|1165|UA
A|CHERTOVITSKOYE VORONEZH|595000|0|0|195|51803306|39251500|0|UU
A|MIKHAYLOVKA BARNAUL|865000|0|0|195|53371722|83573722|0|UN
A|KURUMOCH SAMARA|588000|0|0|195|53484695|50188972|0|UW
A|ABAKAN|733000|0|0|195|53723500|91372333|0|UN
A|BEGISHEVO|749000|0|0|195|55550889|52066444|0|UW
A|SHEREMETYEVO MOSCOW|338000|0|0|195|55980584|37459028|0|UU
A|KRASNOYARSK|685000|0|0|195|56183472|92448945|0|UN
A|SURGUT|668000|0|0|195|61343972|73447222|199|US
A|TALAGI ARKHANGELSK|334000|0|0|195|64602500|40672222|62|UL
A|GALLIVARE|310000|0|0|195|67124972|20849361|970|ES
A|ALYKEL NORILSK|260000|0|0|195|69289695|87293556|594|UO
A2|SIMONETTE|280000|0|0|195|54423611|-117741111|0|CY
A5|CHINCHAGA|317000|0|0|195|57545000|-119111389|0|CY
A9|LIVERPOOL|330000|0|0|195|44226944|-64858611|85|CY
AA|AUCKLAND|114800|1|1|195|-37004722|174813611|29|NZ
AA|ANAA|332500|0|0|195|-17356389|-145509111|58|NT
AA|ATAMBUA|300000|0|0|195|-9083333|124906667|0|WA
AA|ABEMAMA|396000|0|0|195|500000|173850000|0|NG
AA|ACCRA|409000|0|0|195|5676183|-137808|184|DG
AA|CEDAR THOMSON|341000|0|0|195|33533278|-82614389|515|K7
AA|KENIE FARGO|365000|0|0|195|47009053|-96815181|889|K3
AA|AASIAAT|336000|0|0|195|68723147|-52784825|0|BG
AAA|ABRAHAM LINCOLN|329000|0|0|195|40160117|-89338017|591|K5
AAE|AHMEDABAD|113100|1|1|195|23068167|72629111|207|VA
AAF|APALACHICOLA|349000|0|0|195|29723314|-85028064|19|K7
AAL|AALBORG|116700|1|1|195|57103719|9995578|57|EK
AAQ|ARARAQUARA|205000|0|0|195|-21813011|-48139478|0|SB
AAR|ARAR|113300|1|1|195|30908028|41142167|1900|OE
AAR|AMRITSAR|115500|1|1|195|31728070|74785883|780|VI
AAR|AARHUS|111900|0|1|195|56303831|10601103|79|EK
AAT|AGARTALA|116100|1|1|195|23889556|91239722|72|VE
AAU|AURANGABAD|116300|1|1|195|19861084|75405250|1935|VA
AB|ADDIS ABEBA|333000|0|0|195|8997372|38862584|0|HA
AB|ABECHE|350000|0|0|195|13845278|20845556|0|FT
AB|PUTNY ALBANY|227000|0|0|195|31456145|-84276164|184|K7
AB|TOMHI ABILENE|353000|0|0|195|32298883|-99674189|1896|K4
AB|ALBI|323000|0|0|195|43912556|2064500|0|LF
AB|RENEY ABERDEEN|203000|0|0|195|45386008|-98328361|1296|K3
AB|ABSAM|313000|0|0|195|47288539|11501675|1951|LO
AB|ABAKAN|360000|0|0|195|53701195|91355056|0|UN
AB|HAGFORS|393000|0|0|195|59950417|13585833|474|ES
ABA|ALBANY|240000|0|0|195|-34952222|117810556|365|YM
ABA|ALBANY|109700|0|1|195|-34949956|117809867|243|YM
ABA|ARUBA|112500|1|1|195|12505678|-69943100|647|TN
ABA|SCHIPHOL|111950|0|1|195|52293733|4775025|1|EH
ABB|NABB|112400|1|1|195|38588839|-85635992|710|K5
ABB|ABBEVILLE|108450|1|1|195|50135139|1854695|220|LF
ABC|ABUJA|116300|1|1|195|9037803|7285103|1158|DN
ABD|MALANG|116100|1|1|195|-7932764|112713111|1715|WI
ABD|ABADAN|210000|0|0|195|30370472|48219917|0|OI
ABD|ABADAN|115100|1|1|195|30375306|48220611|10|OI
ABD|ABYAD DAMASCUS|264000|0|0|195|33335286|36428189|0|OS
ABG|AMBASSADOR BIG SANDY|404000|0|0|195|32585495|-95113119|424|K4
ABH|ABHA|112900|1|1|195|18241917|42656945|6900|OE
ABI|DJIBOUTI|114600|0|1|195|11549211|43154819|49|HD
ABI|ABILENE|113700|1|1|195|32481328|-99863456|1810|K4
ABK|ABAKAN|113300|1|1|195|53744722|91385556|886|UN
ABL|AMBALEMA|112700|1|1|195|4783820|-74767586|984|SK
ABM|ABUMUSA ABUMUSA ISLAND|115400|0|1|195|25878056|55022944|5|OI
