this is the flight recordings. all parameters divided by TABs 
sim zulu time 	LAT 	LONG 	MSL alt 	radio alt 	baro alt 	baro press 	V/S 	IAS 	G-load 	aileron deg 	elevator deg 	rudder deg 	roll deg 	pitch deg 	mag course 	torque L 	torque R 	throt L 	throt R 	flaps pos 	single commands and failures 	

17:02:26	61.460899	21.932413	637.7	605.3	630.8	756	-0.3	356.4	0.95	0	0	0	0.5	-0.8	129.2	40.4	40.4	37	37	0	
17:02:27	61.460232	21.933817	637.1	605.2	630.2	756	-0.4	360.9	0.94	0	0	0	1.1	-0.9	130.3	40.4	40.4	37	37	0	
17:02:28	61.459557	21.935223	636.4	607	629.5	756	-0.6	360.6	0.82	0	0	0	1.5	-1.1	130.4	40.4	40.4	37	37	0	
17:02:29	61.458893	21.9366	635.3	608.3	628.4	756	-0.9	353.7	0.89	0	0	0	2.3	-1	130.3	40.4	40.4	37	37	0	
17:02:30	61.458225	21.937969	634.4	606.9	627.4	756	-0.9	358.9	0.81	0	0	0	0.6	-1.4	129.9	40.4	40.4	37	37	0	
17:02:31	61.457561	21.939339	633.2	605.2	626.3	756	-1.1	361.9	0.99	0	0	0	-0.4	-1.5	129.7	40.4	40.4	37	37	0	
17:02:32	61.456875	21.940748	631.9	603.3	625	756	-1.2	362.3	0.98	0	0	0	-0.7	-1.2	129.6	40.4	40.4	37	37	0	
17:02:33	61.456196	21.942154	630.5	602.2	623.5	756	-1.3	361.4	1.04	0	0	0	-0.6	-0.6	130.1	40.4	40.4	37	37	0	
17:02:34	61.455536	21.943521	629.5	601.6	622.6	756	-1.1	362.6	0.98	0	0	0	-0.4	-0.9	130.2	40.4	40.4	37	37	0	
17:02:35	61.454849	21.944941	628.7	601.5	621.8	756	-0.8	362.4	1.05	0	0	0	-0.7	-1.1	129	40.4	40.4	37	37	0	
17:02:36	61.454185	21.946321	627.9	601.8	621	756	-0.8	359.5	0.85	0	0	0	0.5	-0.9	129.6	40.4	40.4	37	37	0	
17:02:37	61.45351	21.947718	627.1	602	620.2	756	-0.8	359.9	0.92	0	0	0	1	-0.9	129.7	40.4	40.4	37	37	0	
17:02:38	61.45285	21.94908	626	601.8	619.1	756	-1	361.2	0.99	0	0	0	1.4	-0.8	130.1	40.4	40.4	37	37	0	
17:02:39	61.45219	21.950436	625.2	601.6	618.3	756	-0.8	356.6	0.87	0	0	0	1.8	-1.1	129.8	40.4	40.4	37	37	0	
17:02:40	61.451508	21.951824	624.4	601	617.5	756	-0.8	362	0.98	0	0	0	1.1	-1.1	130.7	40.4	40.4	37	37	0	
17:02:41	61.450844	21.953175	623.4	599.7	616.5	756	-0.9	358.4	1.03	0	0	0	0.4	-0.9	130.7	40.4	40.4	37	37	0	
17:02:42	61.450172	21.954536	622.7	598.6	615.8	756	-0.8	356.9	1.02	0	0	0	0.4	-1.2	130.3	40.4	40.4	37	37	0	
17:02:43	61.449505	21.955889	621.9	597.5	615	756	-0.8	362	1.06	0	0	0	0.8	-1.3	130.3	40.4	40.4	37	37	0	
17:02:44	61.44883	21.957253	621	596.7	614	756	-0.9	361.6	1.13	0	0	0	0.5	-1.3	130.5	40.4	40.4	37	37	0	
17:02:45	61.448135	21.958645	619.9	595.8	613	756	-1	361.1	1.01	0	0	0	0.9	-1.4	130.6	40.3	40.3	37	37	0	
17:02:46	61.447437	21.960041	618.5	594.4	611.6	756	-1.3	364.4	1.03	0	0	0	1.9	-1	131.5	40.4	40.4	37	37	0	
17:02:47	61.446747	21.961414	617.1	593.2	610.3	756	-1.3	361.4	0.97	0	0	0	2.2	-1.1	131.5	40.4	40.4	37	37	0	
17:02:48	61.446072	21.962751	615.8	592	608.9	756	-1.3	363.1	1.09	0	0	0	2.2	-1	131.6	40.4	40.4	37	37	0	
17:02:49	61.445374	21.964117	614.7	590.3	607.7	756	-1.2	361.2	1.02	0	0	0	-2.3	-1.2	131	40.4	40.4	37	37	0	
17:02:50	61.444672	21.965496	613.4	588.3	606.5	756	-1.2	360.1	1.04	0	0	0	-3.2	-0.8	131.4	40.3	40.3	37	37	0	
17:02:51	61.443985	21.966854	612.3	586.1	605.4	756	-1.1	359.7	1	0	0	0	-3	-0.7	130.8	40.4	40.4	37	37	0	
17:02:52	61.443295	21.968239	611.9	583.8	604.9	756	-0.6	365.7	1.11	0	0	0	-2.5	0.7	130.9	40.4	40.4	37	37	0	
17:02:53	61.442608	21.969629	613.2	583.2	606.2	756	0.7	354.8	1.15	0	0	0	-5.5	0.8	130.4	40.4	40.4	37	37	0	
17:02:54	61.441948	21.970991	615.5	582.2	608.5	756	1.7	359.6	0.98	0	0	0	-8	0.3	129	40.4	40.4	37	37	0	
17:02:55	61.441284	21.972412	617.6	584.3	610.5	756	1.9	357.8	1.01	0	0	0	-8	0.2	128.2	40.4	40.4	37	37	0	
17:02:56	61.440632	21.973839	619.2	586.3	612.2	756	1.7	359.6	0.91	0	0	0	-8	0	128.1	40.4	40.4	37	37	0	
17:02:57	61.439999	21.975262	620.4	587.8	613.4	756	1.3	356.9	0.88	0	0	0	-7.3	0.3	127.5	40.4	40.4	37	37	0	
17:02:58	61.439369	21.976709	621.3	588.9	614.3	756	1	356.9	1	0	0	0	-2.7	0.4	127.1	40.4	40.4	37	37	0	
17:02:59	61.438736	21.978188	622.3	590.3	615.3	756	1	354.6	0.93	0	0	0	-1.9	-0.1	126.7	40.4	40.4	37	37	0	
17:03:00	61.43811	21.979652	623	591.3	616	756	0.8	355	1.06	0	0	0	-1.7	-0.2	126.3	40.4	40.4	37	37	0	
17:03:01	61.437481	21.981127	623.4	592.1	616.4	756	0.5	353.6	0.97	0	0	0	-0.9	-0.2	126.3	40.4	40.4	37	37	0	
17:03:02	61.436874	21.982553	623.4	592	616.5	756	0.2	355.2	1	0	0	0	-0.9	-0.3	126.2	40.4	40.4	37	37	0	
17:03:03	61.436268	21.983984	623.3	591.7	616.4	756	0	355.3	0.98	0	0	0	0	-0.6	126.3	40.3	40.3	37	37	0	
17:03:04	61.435642	21.985455	623	592.3	616	756	-0.2	354.5	1.03	0	0	0	0.3	-0.7	126.3	40.4	40.4	37	37	0	
17:03:05	61.43502	21.986923	622.5	592.1	615.5	756	-0.4	355.2	0.96	0	0	0	0.6	-1.1	126.2	40.4	40.4	37	37	0	
17:03:06	61.434387	21.988403	621.6	591.7	614.7	756	-0.7	355.9	1	0	0	0	0.7	-1.2	126	37	37	27	27	0	
17:03:07	61.433762	21.989878	620.5	591	613.6	756	-1	352.9	0.98	0	0	0	0.7	-1.3	126	28.2	28.2	24	24	0	
17:03:08	61.433155	21.991299	619.1	590	612.2	756	-1.3	354	0.96	0	0	0	1.1	-1.6	126.2	26.5	26.5	28	28	0	
17:03:09	61.432526	21.992767	617.1	588.6	610.2	756	-1.7	352.9	0.93	0	0	0	1.4	-1.7	126.5	26.5	26.5	27	27	0	
17:03:10	61.431896	21.994221	614.6	586.6	607.8	756	-2.2	353.8	1.01	0	0	0	1.4	-1.7	126.8	26.4	26.4	27	27	0	
17:03:11	61.431271	21.995667	612.4	585	605.5	756	-2.1	351.8	1.1	0	0	0	1	-0.7	126.8	26.3	26.3	27	27	0	
17:03:12	61.430664	21.997063	611	584	604.1	756	-1.7	352.2	0.98	0	0	0	0.6	-1.3	127.1	26.3	26.3	27	27	0	
17:03:13	61.430035	21.998503	609.4	582.7	602.5	756	-1.6	349.2	1.08	0	0	0	0.2	-0.7	126.9	26.3	26.3	27	27	0	
17:03:15	61.429409	21.999931	608.5	582	601.6	756	-1.1	350	1.1	0	0	0	0.4	-0.4	126.5	26.3	26.3	27	27	0	
17:03:16	61.428791	22.001348	608.3	582.2	601.4	756	-0.5	350.1	1	0	0	0	0.5	-0.3	126.5	26.3	26.3	27	27	0	
17:03:17	61.428165	22.002779	608.2	582.4	601.3	756	-0.2	347.4	1.04	0	0	0	0.8	-0.4	127	26.3	26.3	27	27	0	
17:03:18	61.427544	22.004202	608	582.5	601.1	756	-0.2	346.7	1.05	0	0	0	0.8	-0.3	127.3	26.3	26.3	27	27	0	
17:03:19	61.426933	22.005585	607.9	582.5	600.9	756	-0.2	346.5	1	0	0	0	0.1	-0.4	127	26.3	26.3	27	27	0	
17:03:20	61.426311	22.006998	607.6	582.6	600.7	756	-0.2	347.1	0.93	0	0	0	0.1	-0.4	127.1	26.3	26.3	27	27	0	
17:03:21	61.42569	22.008402	607.2	582.7	600.2	756	-0.4	343.3	0.99	0	0	0	0.2	-0.4	127.3	26.3	26.3	27	27	0	
17:03:22	61.425072	22.009798	606.7	582.5	599.7	756	-0.4	343.5	0.92	0	0	0	0.7	-0.6	127.3	26.3	26.3	27	27	0	
17:03:23	61.424473	22.011152	605.9	582.1	599	756	-0.7	343.4	1	0	0	0	0.9	-0.5	127.4	26.3	26.3	27	27	0	
17:03:24	61.423851	22.012547	605	581.6	598.1	756	-0.8	343.4	0.94	0	0	0	0.7	-0.8	127.6	26.3	26.3	27	27	0	
17:03:25	61.423233	22.013931	603.8	580.6	596.9	756	-1	341.4	0.98	0	0	0	0.1	-0.8	127.8	26.3	26.3	27	27	0	
17:03:26	61.422607	22.015324	602.8	579.4	595.9	756	-0.9	340.2	1.14	0	0	0	0	0.3	127.4	26.3	26.3	27	27	0	
17:03:27	61.421989	22.01671	603.2	579.2	596.2	756	0	337.9	1	0	0	0	0	0.5	126.9	26.3	26.3	27	27	0	
17:03:28	61.421379	22.018082	603.8	579.3	596.8	756	0.4	338.5	0.98	0	0	0	-0.2	0.1	126.9	26.3	26.3	27	27	0	
17:03:29	61.420769	22.019461	604.1	578.9	597.1	756	0.3	337.8	1.02	0	0	0	-0.2	0.1	127.4	26.3	26.3	27	27	0	
17:03:30	61.420155	22.020844	604.2	578.4	597.3	756	0.2	336.3	0.97	0	0	0	-0.1	-0.1	127.4	26.3	26.3	27	27	0	
17:03:31	61.419548	22.022207	604	578.2	597	756	-0.1	335.6	0.97	0	0	0	-0.2	-0.2	127.4	26.3	26.3	27	27	0	
17:03:32	61.418949	22.023558	603.5	578.2	596.5	756	-0.4	334.9	0.97	0	0	0	-0.2	-0.4	127.4	26.3	26.3	27	27	0	
17:03:33	61.418346	22.02492	602.6	578.1	595.7	756	-0.7	334.4	0.97	0	0	0	0.7	-0.6	127.5	26.3	26.3	27	27	0	
17:03:34	61.41774	22.026276	601.5	577.8	594.6	756	-0.9	333.9	1.11	0	0	0	0.7	-0.1	127.2	26.3	26.3	27	27	0	
